Company,Type_Name,Operating_System,Weight,Memory_Size_GB,Memory_Type,CPU_Name,GPU_Brand,is_Touchscreen,has_IPS,Screen_Types,PPI
Dell,Notebook,Linux,2.02,2256,Hybrid,Intel Core i7,AMD,0,0,Full HD,141.21
Dell,Ultrabook,Windows,1.23,256,SSD,Intel Core i5,Intel,0,0,Full HD,165.63
Lenovo,2 in 1 Convertible,Windows,1.4,512,SSD,Intel Core i7,Intel,1,1,4K Ultra HD,316.97
Toshiba,Notebook,Windows,2.0,128,SSD,Intel Core i5,Intel,0,0,Other,100.45
Xiaomi,Notebook,No OS,1.95,256,SSD,Intel Core i5,Nvidia,0,1,Full HD,141.21
Dell,Notebook,Windows,2.77,512,SSD,Intel Core i7,Nvidia,1,0,Full HD,127.34
Dell,Notebook,Windows,2.06,512,SSD,Intel Core i7,Nvidia,1,0,4K Ultra HD,282.42
Lenovo,Gaming,No OS,2.4,256,SSD,Intel Core i5,Nvidia,0,1,Full HD,141.21
Acer,Ultrabook,Windows,1.12,256,SSD,Intel Core i5,Intel,0,1,Full HD,165.63
Dell,Notebook,Windows,2.8,1128,Hybrid,Intel Core i7,AMD,0,0,Full HD,127.34
Lenovo,2 in 1 Convertible,Windows,1.42,1000,SSD,Intel Core i7,Intel,1,0,Other,209.8
Vero,Notebook,Windows,1.3,32,Flash Storage,Other Intel Processor,Intel,0,1,Full HD,157.35
Xiaomi,Ultrabook,No OS,1.3,256,SSD,Intel Core i5,Nvidia,0,1,Full HD,165.63
Lenovo,Notebook,No OS,2.8,256,SSD,Intel Core i5,Nvidia,0,0,Other,106.11
Dell,2 in 1 Convertible,Windows,1.62,1000,HDD,Intel Core i7,Intel,1,1,Full HD,165.63
HP,Notebook,Windows,2.5,1000,HDD,Intel Core i5,Nvidia,0,1,Full HD,127.34
Razer,Gaming,Windows,3.49,1000,SSD,Intel Core i7,Nvidia,1,0,4K Ultra HD,254.67
HP,Notebook,Windows,1.49,512,SSD,Intel Core i5,Intel,0,0,Full HD,165.63
HP,Gaming,Windows,3.35,1256,Hybrid,Intel Core i7,Nvidia,0,1,Full HD,127.34
HP,Notebook,Windows,2.5,256,SSD,Intel Core i7,Nvidia,0,0,Full HD,127.34
Dell,Gaming,Windows,2.65,1512,Hybrid,Intel Core i7,Nvidia,0,1,4K Ultra HD,282.42
Lenovo,Notebook,Windows,2.1,128,SSD,Intel Core i5,Intel,0,0,Other,100.45
Acer,Notebook,Windows,2.23,1000,HDD,Intel Core i7,Nvidia,0,0,Full HD,141.21
